status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
"current","Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin",14984,"04/29/2022","","Electronic Medical Record","NE","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Northern Eye Care Associates, P.C.",8000,"04/28/2022","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Affiliated Eye Surgeons",23400,"04/28/2022","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Allied Eye Physicians and Surgeons, Inc.",20651,"04/27/2022","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Southern Ohio Medical Center",15136,"04/26/2022","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","Montefiore Medical Center ",3717,"04/22/2022","","Electronic Medical Record","NY","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","The Mental Health Center of Greater Manchester",1322,"04/22/2022","","Network Server","NH","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Illinois Gastroenterology Group, PLLC",227943,"04/22/2022","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Homestead Bldg Sys,Inc.Health  Plan",727,"04/21/2022","","Network Server","VA","Health Plan","Hacking/IT Incident","No"
"current","The Energy Cooperative Group Benefits Plan",875,"04/21/2022","","Network Server","OH","Health Plan","Hacking/IT Incident","No"
"current","Wayne Family Practice Associates, PC",5944,"04/19/2022","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","Fairfield County Implants and Periodontics, LLC",10502,"04/19/2022","","Email","CT","Healthcare Provider","Hacking/IT Incident","No"
"current","Optima Dermatology Holdings, LLC",59872,"04/18/2022","","Email","NH","Healthcare Provider","Hacking/IT Incident","No"
"current","Canon Business Process Services Inc",1625,"04/15/2022","","Paper/Films","NY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Canon Business Process Services Inc",745,"04/15/2022","","Paper/Films","NY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Canon Business Process Services Inc",8015,"04/15/2022","","Paper/Films","NY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","New Creation Counseling Center ",24029,"04/14/2022","","Network Server, Other","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","Newman Regional Health",52224,"04/14/2022","","Email","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","Onehome Health Solutions",15401,"04/13/2022","","Laptop","FL","Healthcare Provider","Theft","No"
"current","Adaptive Health Integrations",510574,"04/11/2022","","Network Server","ND","Healthcare Provider","Hacking/IT Incident","No"
"current","The MetroHealth System",1748,"04/11/2022","","Electronic Medical Record, Email, Paper/Films","OH","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","East Tennessee Children's Hospital",501,"04/07/2022","","Network Server","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","SummaCare Inc",716,"04/07/2022","","Network Server","OH","Health Plan","Unauthorized Access/Disclosure","No"
"current","Advantage Benefits Group",7147,"04/06/2022","","Email","MI","Business Associate","Hacking/IT Incident","Yes"
"current","State of Arizona Department of Administration",820,"04/05/2022","","Paper/Films","AZ","Health Plan","Unauthorized Access/Disclosure","Yes"
"current","Law Enforcement Health Benefits, Inc.",85282,"03/28/2022","","Network Server","PA","Health Plan","Hacking/IT Incident","No"
"current","Medical Surgical Eye Care",2000,"03/28/2022","","Network Server","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","Lutheran Social Services of Illinois",1000,"03/25/2022","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Christie Business Holdings Company, P.C.",502869,"03/25/2022","","Email","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Advanced Medical Practice Management",56427,"03/23/2022","","Network Server","NJ","Business Associate","Hacking/IT Incident","Yes"
"current","Thomas Allen, Inc.",2803,"03/23/2022","","Email","MN","Healthcare Provider","Hacking/IT Incident","No"
"current","Taylor Regional Hospital ",190209,"03/21/2022","","Network Server","KY","Healthcare Provider","Hacking/IT Incident","No"
"current","Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers",34775,"03/21/2022","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Cancer and Hematology Centers of Western Michigan ",43071,"03/18/2022","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Wheeling Health Right Inc",3912,"03/18/2022","","Network Server","WV","Healthcare Provider","Hacking/IT Incident","No"
"current","Central Minnesota Mental Health Center",28725,"03/17/2022","","Email","MN","Healthcare Provider","Hacking/IT Incident","No"
"current","Laboratorio Clinico Toledo",500,"03/14/2022","","Network Server","","Healthcare Provider","Hacking/IT Incident","No"
"current","Trinity Home Care, Inc.",1541,"03/14/2022","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Capital Region Medical Center",17578,"03/11/2022","","Network Server","MO","Healthcare Provider","Hacking/IT Incident","No"
"current","Labette Health",85635,"03/11/2022","","Network Server","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","New Jersey Brain and Spine",92453,"03/10/2022","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Central Indiana Orthopedics",83705,"03/07/2022","","Network Server","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","South Denver Cardiology Associates, PC",287652,"03/04/2022","","Network Server","CO","Healthcare Provider","Hacking/IT Incident","No"
"current","Indiana Hemophilia and Thrombosis Center, Inc.",2575,"03/04/2022","","Email","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","University of Michigan/Michigan Medicine",2921,"03/03/2022","","Email","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Molecular Pathology Laboratory Network, Inc.",339471,"03/03/2022","","Network Server","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","Crossroads Health",10324,"03/02/2022","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","LGAA, LLC",864,"03/01/2022","","Network Server","UT","Health Plan","Hacking/IT Incident","No"
"current","UMass Memorial Health, Inc.",4270,"02/28/2022","","Email","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Bako Diagnostics",25745,"02/25/2022","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","Alliance Physical Therapy Group, LLC",197588,"02/23/2022","","Network Server","MI","Business Associate","Hacking/IT Incident","Yes"
"current","Community Association of Progressive Dominicans, Inc. ",656,"02/23/2022","","Email","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Zoe Therapy Services  ",1100,"02/23/2022","","Email","VA","Healthcare Provider","Hacking/IT Incident","No"
"current","Logan Health Medical Center",213543,"02/22/2022","","Network Server","MT","Healthcare Provider","Hacking/IT Incident","No"
"current","Ascension Michigan (single affiliated covered entity) ACE",27177,"02/22/2022","","Electronic Medical Record","MI","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Memorial village er",80000,"02/19/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","US Radiology Specialists, Inc.",87552,"02/18/2022","","Network Server","NC","Business Associate","Hacking/IT Incident","Yes"
"current","Cooper University Health Care",1039,"02/14/2022","","Email","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Family Fare LLC",3892,"02/11/2022","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","Yes"
"current","CVS Pharmacy",6221,"02/11/2022","","Network Server","RI","Healthcare Provider","Hacking/IT Incident","No"
"current","Jacksonville Spine Center, P.A.",38000,"02/10/2022","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Seneca Nation Health System",12000,"02/08/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","South Shore Hospital Corporation",115175,"02/07/2022","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth",48126,"02/07/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Morley Companies, Inc.",521046,"02/01/2022","","Network Server","MI","Business Associate","Hacking/IT Incident","Yes"
"current","Family Christian Health Center",31000,"01/28/2022","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Spencer Gifts LLC Health and Welfare Benefit Plan",10023,"01/24/2022","","Network Server","NJ","Health Plan","Hacking/IT Incident","No"
"current","Medical Healthcare Solutions, Inc. ",133997,"01/22/2022","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Walgreen Co.",1471,"01/21/2022","","Paper/Films","IL","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","University of Arkansas for Medical Sciences ",518,"01/21/2022","","Email","AR","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Advocates, Inc.",68236,"01/21/2022","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Raveco Medical",4897,"01/17/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Vantage Holding Company, LLC",1762,"01/14/2022","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Digital Insurance, LLC doing business as OneDigital",2051,"01/14/2022","","Network Server","GA","Business Associate","Hacking/IT Incident","Yes"
"current","Oscar Insurance Corporation of Ohio",504,"01/13/2022","","Paper/Films","OH","Health Plan","Unauthorized Access/Disclosure","No"
"current","Oscar Health Plan of California",7632,"01/13/2022","","Paper/Films","NJ","Health Plan","Unauthorized Access/Disclosure","No"
"current","Oscar Buckeye State Insurance Corporation",791,"01/13/2022","","Paper/Films","OH","Health Plan","Unauthorized Access/Disclosure","No"
"current","Lakeshore Bone & Joint Institute, PC",23627,"01/10/2022","","Email","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Advent Health Partners, Inc.",1383,"01/06/2022","","Email","TN","Business Associate","Hacking/IT Incident","Yes"
"current","Ravkoo",105000,"01/03/2022","","Other","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Sherrill House, Inc.",5006,"01/03/2022","","Email","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC",6400,"12/30/2021","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","Loyola University Medical Center",16934,"12/30/2021","","Email","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Douglas C Morrow ODPC",5269,"12/28/2021","","Network Server","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Pithadia Medical Professional Services, Inc.",1624,"12/28/2021","","Network Server","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Advocate Aurora Health",1729,"12/28/2021","","Paper/Films","WI","Healthcare Provider","Loss","No"
"current","Walgreen Co.",1352,"12/27/2021","","Paper/Films","IL","Healthcare Provider","Loss","No"
"current","Fertility Centers of Illinois, PLLC",79943,"12/27/2021","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","C.E. Niehoff & Company ",1509,"12/23/2021","","Network Server","IL","Health Plan","Hacking/IT Incident","No"
"current","Duneland School Corporation",7000,"12/23/2021","","Network Server","IN","Health Plan","Hacking/IT Incident","No"
"current","Daniel J. Edelman Holdings, Inc.",184500,"12/22/2021","","Network Server","IL","Health Plan","Hacking/IT Incident","Yes"
"current","Rhode Island Public Transit Authority",5015,"12/21/2021","","Network Server","RI","Health Plan","Hacking/IT Incident","No"
"current","Chaddock",777,"12/21/2021","","Paper/Films","IL","Healthcare Provider","Theft","No"
"current","Northwest Broward Orthopaedics Associates",500,"12/17/2021","","Desktop Computer, Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Eduro Healthcare, LLC",8059,"12/09/2021","","Email","UT","Healthcare Provider","Hacking/IT Incident","No"
"current","Weddell Pediatric Dental Specialists, LLC",5356,"12/08/2021","","Email","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Javery Pain Institute ",1387,"12/08/2021","","Email","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Summit Surgical, LLC",4910,"12/07/2021","","Network Server","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","Oregon Anesthesiology Group, P.C.",750500,"12/06/2021","","Network Server","OR","Healthcare Provider","Hacking/IT Incident","No"
"current","Bansley and Kiener, LLP",70941,"12/03/2021","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Mertz Manufacturing Inc Health Insurance Plan",868,"12/03/2021","","Network Server","OK","Health Plan","Hacking/IT Incident","No"
"current","Great Plains Manufacturing, Inc",4110,"12/01/2021","","Network Server","KS","Health Plan","Hacking/IT Incident","No"
"current","AMITA Health Medical Group Primary Care Hoffman Estates",1647,"11/30/2021","","Email","IL","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Region IV Area Agency on Aging",3171,"11/29/2021","","Email","MI","Health Plan","Hacking/IT Incident","No"
"current","Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",501,"11/29/2021","","Network Server","NH","Healthcare Provider","Hacking/IT Incident","No"
"current","Youth Consultation Service",2756,"07/19/2021","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Priority Health",36812,"12/21/2020","","Email, Network Server","MI","Health Plan","Hacking/IT Incident","Yes"
"archive","Gillette Children's Specialty Healthcare",542,"09/29/2023","The covered entity (CE), Gillette Children's Specialty Healthcare, reported that its business associate (BA) was the subject  of a cybersecurity incident that compromised the protected health information (PHI) of 542 individuals. The PHI involved included names, medical record numbers, and other treatment information. Steps were taken to mitigate harm and protect PHI.","Network Server","MN","Healthcare Provider","Hacking/IT Incident","Yes"
"archive","United Bankshares, Inc.",8801,"08/11/2023","The business associate (BA), United Bankshares, reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 8,801 individuals. The PHI involved included names, addresses, dates of birth, telephone numbers, Social Security numbers, driver's license numbers, diagnoses, lab results, medications, claims and financial information, and other treatment information. The BA notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the BA installed manufacturer-provided software patches and implemented additional technical safeguards to better protect its sensitive data.","Network Server","DC","Business Associate","Hacking/IT Incident","Yes"
